Keyword,Definition
Coronal orientation,Imaging plane dividing body into front/back; not standard for vein compressibility (transverse is preferred).
Cyanosis,Bluish discoloration due to low oxygen; seen in Raynaud's after pallor phase or in blue toe syndrome.
Deep venous thrombosis (DVT),"Blood clot in deep veins, causing secondary venous insufficiency; history can lead to reflux."
Diabetic neuropathy,"Nerve damage from diabetes, causing foot issues but not directly blue toe syndrome."
Diastolic flow,Blood flow during heart relaxation; increased in low-resistance beds or AVFs.
Duplex exam,Ultrasound combining B-mode imaging and Doppler for vascular assessment; used post-endarterectomy or for veins/arteries.
Dysphasia,"Difficulty speaking, a hemispheric symptom from carotid territory ischemia."
Early systolic peak,"Sharp upstroke in Doppler waveform; normal in renal segmental arteries, indicating no proximal stenosis."
Emboli,Clots or debris traveling in bloodstream; main cause of acute lower extremity ischemia or blue toe.
Endarterectomy,"See ""Carotid endarterectomy""; general term for plaque removal from arteries."
Facial swelling,"Symptom of superior vena cava syndrome or central obstruction, with edema and dyspnea."
Femoral vein,Deep vein in thigh; assessed for reflux or obstruction; valves are numerous here.
Fibromuscular dysplasia,Nonatherosclerotic arterial disease causing beading/narrowing; commonly affects distal internal carotid or renal arteries.
Gaiter area,Lower medial leg region where venous ulcers often occur due to insufficiency.
Gangrene,Tissue death from ischemia; potential complication of compartment syndrome.
Gastrocnemius muscle,Calf muscle; can compress popliteal artery in entrapment syndromes.
Great saphenous vein,Long superficial leg vein; common source of reflux in venous insufficiency.
Hematoma,Localized blood collection; post-biopsy complication but not typically with low-resistance flow.
Hemiparesis,Weakness on one body side; hemispheric symptom from carotid ischemia.
Hepatic vein,"Drains liver to IVC; normal flow is hepatofugal, pulsatile due to cardiac influence."
Hepatic vein thrombosis,Clot in hepatic veins; causes Budd-Chiari-like symptoms but not aliasing post-biopsy.
Hepatocellular carcinoma,Liver cancer; can invade veins but less commonly IVC than renal cell carcinoma.
Hepatofugal,"Flow away from the liver; normal for hepatic veins, abnormal for portal vein (indicates portal hypertension)."
Hepatopetal,"Flow toward the liver; normal for portal vein, abnormal for hepatic veins."
Hepatoportal circulation,"System involving portal and hepatic veins; normal portal flow is hepatopetal, non-pulsatile; hepatic is hepatofugal, pulsatile."
High resistive flow,Waveform with little diastolic flow; seen in muscular arteries or proximal to occlusion.
Incomplete palmar arch,Partial hand arterial loop; causes no PPG change with radial compression if ulnar is occluded.
Inflow artery occlusion,Blockage of artery supplying an AVF; causes reduced flow but not edema.
Inferior vena cava (IVC),Major vein returning blood from lower body to heart; invaded by tumors like renal cell carcinoma; few valves.
Innominate vein,Another name for brachiocephalic vein.
Internal jugular vein,Major neck vein draining brain; obstruction doesn't cause continuous subclavian flow.
Intrinsic compression,External pressure on vessels; not typical for blue toe but seen in syndromes like median arcuate.
Ipsilateral arm edema,Swelling on same side as AVF; indicates central venous obstruction.
Leriche syndrome,"Aortoiliac occlusion causing buttock claudication, impotence; not related to celiac compression."
Lesser sac,Peritoneal space; not location of abdominal aorta.
Loss of phasicity,"Absence of respiratory variation in venous Doppler; indicates proximal obstruction (e.g., partial iliac)."
Low-resistance waveform,High diastolic flow; normal in brain/renal arteries or post-exercise; seen in AVFs.
Mastoid bone,Skull bone behind ear; not a transtemporal landmark for TCD.
Medial arcuate syndrome,Compression of celiac axis by median arcuate ligament; velocities change with breathing.
Medial malleolus,Inner ankle bone; PPG sensor placement above it for venous insufficiency testing.
Medial wall calcification,Hardening of artery inner wall; associated with monophasic waveforms and high ABI (>1.3) in diabetics.
Middle cerebral artery M2 branch,Distal segment of MCA; landmark in transcranial Doppler for cerebral flow assessment.
Monophasic,"Single-phase waveform; indicates severe disease or calcification in arteries, or obstruction in veins."
Morison pouch,Space between liver and kidney; not aorta location.
Native vessels,Original anatomical arteries/veins; compared to collaterals or grafts.
Neurovascular compression syndrome,"Entrapment of vessels/nerves; e.g., thoracic outlet, causing decreased pulses."
Nonatherosclerotic,"Vessel narrowing not due to plaque; e.g., fibromuscular dysplasia or Takayasu arteritis."
Nonhemispheric sign,"Symptom from vertebrobasilar insufficiency, like syncope, not lateralized like hemiparesis."
Oblique orientation,Angled imaging plane; not standard for vein compression.
Ovarian carcinoma,Ovarian cancer; can invade veins but less commonly IVC.
Paget von Schroetter disease,Effort thrombosis of axillary/subclavian vein; confirmed with upper extremity venous duplex; causes arm edema.
Pallor,Paleness; initial phase in Raynaud's disease due to vasospasm.
Palmar arch,Arterial network in palm; completeness tested with PPG and artery compression.
Patency,Openness of a vessel or graft; assessed via Doppler flow or compression.
Pectoralis minor,Chest muscle; compresses axillary vessels in some thoracic outlet cases.
Perforating vein,Connects superficial to deep veins; responsible for reflux if thigh tourniquet normalizes refill time.
Peritoneal,Relating to the peritoneum cavity; not aorta location.
Peroneal vein,Deep calf vein; often singular in lower extremity venous system.
Phasic Doppler signal,"Flow varying with respiration; normal in veins, lost with obstruction."
Photoplethysmography (PPG),Non-invasive test using light to measure blood volume changes; used for venous insufficiency or arterial patency in digits.
Popliteal vein,Vein behind knee; numerous valves; obstruction doesn't affect CFV augmentation if proximal.
Portal vein,"Carries blood from gut to liver; normal flow hepatopetal, non-pulsatile; occlusion causes high resistance."
Portal vein occlusion,Blockage of portal vein; not typically with aliasing post-liver biopsy.
Posterior cerebral artery,Brain artery; distal segment used as landmark in TCD.
Posterior tibial vein,Deep calf vein accompanying posterior tibial artery; often paired.
Primary venous insufficiency,Valve incompetence without prior thrombosis; causes include congenital absence or damage.
Profunda femoris vein,Deep thigh vein; complete occlusion doesn't cause CFV phasicity loss.
Pulsatile flow,"Throbbing waveform synced to heartbeat; normal in arteries, abnormal in portal vein (indicates hypertension)."
Raynaud disease,"Vasospasm of digits triggered by cold/stress, causing pallor, cyanosis, rubor; tested with PPG."
Renal allograft,Transplanted kidney; common complication is renal artery stenosis.
Renal artery,Supplies kidney; lowest resistive index among options; stenosis causes tardus parvus in segments.
Renal artery stenosis,Narrowing of renal artery; most common vascular issue in transplants.
Renal artery thrombosis,Clot in renal artery; less common than stenosis in allografts.
Renal cell carcinoma,Kidney cancer; most common to invade IVC via renal vein.
Renal vein stenosis,Narrowing of renal vein; rare in transplants.
Renal vein thrombosis,Clot in renal vein; can occur post-transplant but less common.
Resistive index,Measure of vascular resistance (PSV - EDV)/PSV; lowest in renal arteries (low-resistance bed).
Retroperitoneum,Space behind peritoneum where abdominal aorta and IVC lie.
Sagittal orientation,Imaging plane dividing body into left/right; used in vascular ultrasound but not for compression.
Sample volume,Size of Doppler gate; too large can cause artifacts in graft imaging.
Sartorius,Thigh muscle; not common in thoracic outlet compression.
Scalene,Neck muscle; most frequent compressor in thoracic outlet syndrome.
Segmental arteries,"Intrarenal branches; waveforms assess for proximal stenosis (e.g., acceleration time)."
Small saphenous vein,Superficial posterior leg vein; can cause reflux but less than great saphenous.
Spectral Doppler,Ultrasound mode showing velocity spectrum over time; used for waveforms in hepatic/portal veins.
Sphenoid bone,Skull bone; landmark in transtemporal TCD window.
Steal phenomenon,Diversion of blood to AVF causing distal ischemia; not primary cause of edema in AVF patients.
Superior mesenteric artery (SMA),"Supplies midgut; high resistance when fasting, decreases post-meal."
Superior vena cava (SVC),"Major vein to right atrium; obstruction causes facial/upper edema, continuous subclavian flow."
Superior vena cava syndrome,"Obstruction of SVC causing upper body edema, dyspnea; often from malignancy."
Syncope,Fainting; nonhemispheric symptom indicating vertebrobasilar insufficiency.
Takayasu arteritis,Inflammatory vasculitis affecting large arteries like brachiocephalic; predominantly in young females.
Tardus parvus,Delayed (tardus) and reduced (parvus) systolic peak in waveforms; indicates proximal stenosis.
Thoracic outlet syndrome,"Compression of neurovascular bundle at neck/shoulder; causes arm symptoms, confirmed with upper extremity duplex."
Transcranial Doppler (TCD),"Ultrasound through skull windows (e.g., transtemporal) to assess cerebral arteries like MCA."
Transstemporal approach,Skull window over temple for TCD to evaluate middle cerebral artery.
Transverse orientation,Cross-sectional imaging plane; standard for assessing vein compressibility.
Triphasic,"Three-phase arterial waveform (forward, reverse, forward); normal in peripheral arteries."
Tricuspid valve,Heart valve between right atrium and ventricle; overfilling before opening seen in hepatic vein waveforms.
Tumor invasion,"Extension of cancer into vessels; e.g., renal cell carcinoma into IVC."
Ulnar artery,Forearm artery; occlusion with incomplete palmar arch shows no PPG change on radial compression.
Varicosity,"Dilated, tortuous vein; PPG sensor not placed over it for insufficiency testing."
Venous insufficiency,"Inability of veins to return blood; primary from valve damage, secondary from DVT; tested with refill time and PPG."
Venous refill time,Time for vein refilling after compression; normalizes with tourniquet if perforator reflux.
Venous reflux,Backward flow in veins due to incompetent valves; assessed with Doppler and tourniquets.
Venous valves,Structures preventing backflow; most numerous in calf veins like popliteal.
Vertebrobasilar duplex exam,Ultrasound of vertebral/basilar arteries; indicated for nonhemispheric symptoms like syncope.
Waveform characteristic,"Shape of Doppler signal; e.g., monophasic in disease, triphasic normal."
